User ID,Username,Account Status,Followers Count,Post ID,Content Before Defacement,Content After Defacement,Post Timestamp,Defacement Method,Type of Attack,IP Address,Location,Device Information,Time of Defacement,Time of Detection,Time of Recovery,Action Taken,Restoration Status
fe64494d-3518-46fa-bf94-a698141b5d8e,paulmay,Compromised,654286,d69505d2-fabb-4f15-adc5-f05e54edcd92,Green able two store.,Food program special.,3/16/2024 15:22,Social Engineering,Impersonation,42.201.196.96,Shawnchester,Mobile,4/20/2024 0:53,1/9/2024 23:03,7/7/2024 3:28,Content Removed,Not Restored
a9814b44-d5c9-414f-a5d2-83f4896a57af,ashleysmall,Suspended,601625,65a2ce27-ed8b-4c86-9241-06d4199ccdab,Section order number rich cup only southern.,Seem meet thus wind.,1/16/2024 11:02,Cross-site Scripting,Account Hijacking,162.59.79.21,Nelsonmouth,Mobile,3/24/2024 4:15,1/7/2024 9:56,2/8/2024 15:36,Content Removed,Not Restored
8cb43fbc-c340-473e-8903-87ca39182efc,robert30,Active,615577,c3d9eb68-ca94-4664-85b5-929f644ee350,Room partner present thank.,Onto thing gas seem.,9/24/2024 1:25,Social Engineering,XSS,77.40.111.167,Ericafurt,Tablet,9/4/2024 22:25,3/1/2024 22:28,9/21/2024 1:02,Password Reset,Not Restored
eee10a2a-f0d7-4f4f-8252-6e74f940c97d,jrice,Compromised,394800,2d8ad768-fe3a-4ad3-a242-89d4d3aa1051,Trade arrive level respond.,Have admit business see action teach experience cold.,3/22/2024 22:24,Malware Injection,Impersonation,39.163.59.39,West Benjaminport,Desktop,2/26/2024 2:32,4/6/2024 4:09,5/25/2024 0:41,Password Reset,Not Restored
d3b33ed1-2702-4fa8-9f75-53f0e600124a,phillipsedward,Compromised,758264,9155b454-e873-43db-8f33-1d165573fe83,Others maintain example street she.,Man this upon hotel.,4/15/2024 5:11,Social Engineering,Script Injection,157.161.120.43,Toddmouth,Desktop,7/9/2024 4:43,1/25/2024 12:14,7/25/2024 11:33,Content Removed,Not Restored
1ad2a679-6c8e-44a0-8e64-f3e69b74228e,juliebright,Compromised,642137,b45b0500-7036-44ae-a0b6-76c50a2b95a3,Issue above reduce.,Whole agreement send lawyer.,6/14/2024 11:39,Phishing,Script Injection,61.71.237.195,East Brian,Tablet,1/16/2024 9:24,9/22/2024 20:14,6/5/2024 14:40,Password Reset,Restored
02bcf2a1-86a0-450b-b393-126c203dbb07,benderjohn,Suspended,867778,b56b7e10-45f5-46b7-9ee5-d6079fd7be3f,Admit together crime good.,Entire physical federal ground impact.,7/29/2024 16:03,Social Engineering,Account Hijacking,150.58.157.43,North John,Mobile,9/7/2024 4:48,3/6/2024 4:23,10/8/2024 2:44,Content Removed,Not Restored
eb36f8c3-f3df-4fc8-a246-db43d097ce77,howardadam,Compromised,116511,47e440b7-80de-44ae-a994-b3e5065a2a37,Before suffer really usually surface from.,Relate break task news often structure sport.,8/27/2024 2:38,Social Engineering,Impersonation,38.221.33.150,North Jonathan,Tablet,9/27/2024 13:42,6/25/2024 10:09,4/18/2024 0:18,Account Suspended,Restored
2ae09a91-3f43-4aba-a2e6-c9d833da16c3,hreeves,Compromised,471127,12f69dd1-c168-4f49-872f-301850fb8a57,Time system involve author whose turn here.,Focus call rest member.,9/26/2024 14:58,Malware Injection,Account Hijacking,15.214.75.143,Welchside,Tablet,8/8/2024 19:38,4/2/2024 5:20,7/13/2024 8:07,Account Suspended,Restored
a6298f8d-4622-42bf-b5fd-27b0f1ae5351,olong,Compromised,361947,69b4aea7-44a3-4b8a-91df-36a0317c2325,Popular rather Mrs suggest.,Speak now performance city simple.,1/24/2024 5:31,Cross-site Scripting,Image Defacement,95.31.125.246,West Andrew,Mobile,8/27/2024 12:14,3/26/2024 8:19,1/31/2024 10:56,Content Removed,Not Restored
2bd05252-8712-4ac7-871f-7114e3be7e02,figueroakristy,Compromised,209395,21496663-5197-4ec5-aba9-08e0417dc9a9,Often pull edge lead voice.,Usually today number inside.,5/24/2024 3:36,Social Engineering,Script Injection,28.24.33.126,Port Joshuaberg,Desktop,5/30/2024 23:30,3/7/2024 3:45,7/27/2024 7:02,Password Reset,Restored
26abdcf2-fc08-4b31-abae-041f9e0fee0b,kellerwhitney,Active,58522,b918a817-b3ea-4db8-885d-51f6a13d8c6f,Million in professor conference four inside.,Voice speak require board into party.,4/23/2024 17:38,Malware Injection,XSS,41.229.15.190,Alexandertown,Desktop,5/8/2024 9:50,4/17/2024 22:33,1/23/2024 22:06,Content Removed,Restored
5bab76f5-e131-4da8-b37c-ad710cec3421,rachel80,Active,978186,cb057af7-b17e-4b3d-b683-f7f617e6511e,Possible lose meeting wife building where still relate.,Note past him sign rich reality.,6/4/2024 16:36,Phishing,Account Hijacking,139.117.123.80,Josephtown,Desktop,4/22/2024 10:39,1/23/2024 16:56,8/18/2024 4:29,Password Reset,Restored
34194de5-d776-4484-aee4-f78625dcb04c,fschneider,Compromised,368071,d91c806f-c83f-4b84-85be-86dca4867d84,The marriage walk part.,Father pick enjoy list light play.,3/21/2024 16:52,Phishing,Impersonation,68.100.0.133,Evansport,Tablet,8/1/2024 6:55,9/30/2024 15:17,8/22/2024 2:05,Content Removed,Restored
c302b614-08aa-461f-bb23-e1fdbc41f72c,nelsonperry,Active,483935,34f32aa6-4eb1-4e35-a77f-f1663781d3bc,Language raise serve treat drive business.,Hot may ball value development coach prepare.,2/19/2024 6:01,Cross-site Scripting,Account Hijacking,99.177.95.196,Alexanderfurt,Tablet,6/19/2024 19:15,6/23/2024 10:16,5/17/2024 20:59,Content Removed,Restored
7e841edd-2a09-41c1-a34e-5b316e48d218,fowlerangelica,Suspended,39203,be1e00fa-4436-4cd2-96d7-ab575d2b86dc,Ability myself technology source off.,Pm discuss several much.,4/27/2024 22:39,Social Engineering,Script Injection,79.172.7.144,South Randy,Mobile,5/10/2024 4:51,10/3/2024 16:36,5/26/2024 19:25,Account Suspended,Restored
112fd099-d7f3-4b65-9cf8-0a86a734e282,gillespierachel,Suspended,932319,cff850e5-6dd6-4bef-a9df-b8223baf7b2f,Father assume live serve.,Recent player themselves above plan authority.,5/2/2024 20:55,Brute-force,Impersonation,57.160.73.43,North Natasha,Mobile,7/22/2024 12:04,9/8/2024 7:00,5/29/2024 6:41,Password Reset,Restored
b6a2eced-0f0d-456f-b1fd-54bf9674ca2f,fpatterson,Active,505067,ccb8b1be-4042-4071-87a1-c3f3d3baffef,Cultural on person official shake spend.,Increase interview increase trial.,8/21/2024 12:19,Phishing,Account Hijacking,167.68.68.34,Gravesburgh,Tablet,7/20/2024 9:51,1/7/2024 7:10,10/10/2024 23:14,Content Removed,Restored
90d55edc-4860-4092-9633-d9990b6fc7fd,fpalmer,Compromised,186116,011cba5d-c541-489f-8ef4-9d5f1c21c796,Focus east dog young else town.,Real product build.,1/26/2024 19:02,Phishing,Image Defacement,116.142.93.217,Lake Lisa,Mobile,4/29/2024 13:28,1/24/2024 9:12,5/4/2024 23:52,Account Suspended,Not Restored
9adaefb0-b15b-441b-81f4-b3f3816e9972,cummingsaaron,Suspended,980336,0076d9cf-66fe-4dbe-ba8f-5be50ed2d717,Responsibility process bring dinner then write now.,Machine city meet suddenly.,5/17/2024 12:18,Malware Injection,Account Hijacking,91.121.218.36,Justinside,Tablet,10/15/2024 7:47,5/31/2024 11:12,4/6/2024 8:59,Content Removed,Restored
ab481e4d-e8fd-452c-871a-0355fce706f6,choover,Active,838364,9b0e46c5-4a59-45a5-8f89-3c0cdee7d92c,Newspaper baby when beautiful explain.,Song from idea difference.,8/28/2024 20:43,Cross-site Scripting,Impersonation,85.75.8.133,Ryanfurt,Tablet,1/15/2024 22:33,2/5/2024 8:23,8/6/2024 7:09,Content Removed,Not Restored
